#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Sword_of_Nul;Sword of Nul;;;;;;;;;;;;;x
Sword_of_Nul_desc;A powerful magical short sword made of bronze. An artifact created by the vile demon Drakonskyr.;;;;;;;;;;;;;x
Tablet_of_Destiny;Tablet of Destiny;;;;;;;;;;;;;x
Tablet_of_Destiny_desc;According to the Enuma Elish, the Tablet of Destiny were the laws for mankind, set down by Enoch himself. Hesiod believed them to contain an early account of the Book of Nod. Ishtar tried steal it from Ennoia--a bitter feud ensued between the two Antediluvians which nearly caused the Toreador destruction.;;;;;;;;;;;;;x
The_Sargon_Fragment;The Sargon Fragment;;;;;;;;;;;;;x
The_Sargon_Fragment_desc;A book believed to be written by Cappadocius during his mortal years. It may have a ritual called "The Anointing" that grant divine powers. Cappadocius transcribed all his knowledge before his embrace, 8000 years ago. The violence of his embrace ruined his memory and he lost the Sargon Codex.;;;;;;;;;;;;;x
Eye_of_Hazimel;Eye of Hazimel;;;;;;;;;;;;;x
Eye_of_Hazimel_desc;This item is a living eye belonging to the Ravnos Methuselah Hazimel (or, according to some, to Zapathasura himself). The Eye holds great powers of mutation and destruction, but in order to use it, its wielder has to replace one of their own eyes with it.;;;;;;;;;;;;;x
Ankaran_Sarcophagus;Ankaran Sarcophagus;;;;;;;;;;;;;x
Ankaran_Sarcophagus_desc;The Ankaran Sarcophagus is an ancient artifact originally unearthed in 1068 AD near Ankara, the capital of Turkey. It is believed to hold either an ancient Mesopotamian king or even an Antediluvian.  An ancient kindred proverb says "Don't Open It!";;;;;;;;;;;;;x
Klaive_of_Yuri_Tvarivich;Klaive of Yuri Tvarivich;;;;;;;;;;;;;x 
Klaive_of_Yuri_Tvarivich_desc;Crafted by the Silver Fangs of the Clan of the Crescent Moon for their Czar Yuri Tvarivich for war against the Zmei--the great Wyrm-dragons;;;;;;;;;;;;;x 
First_Klaive;First Klaive;;;;;;;;;;;;;x
First_Klaive_desc;Wind-howl made the Glade Child into the shape of a sword, using the rocks made hollow by the river as a mold. Then she sung to Luna, who came upon them both and put herself in the sword as fire, and Wind-howl forged them both into silver. And with a rock, she beat them into sharpness, and with her claws she carved the Glade Child's name into the side.The sword was as beautiful as the Glade Child had been, and it was called a klaive.;;;;;;;;;;;;;x
fang_dagger;Fang Dagger;;;;;;;;;;;;;x
fang_dagger_desc;An ivory knife, shaped from a great beast's tooth or tusk.  Often with a bound spirit of War, Pain, Death, or Snake.;;;;;;;;;;;;;x
bane_klaive;Bane Klaive;;;;;;;;;;;;;x
bane_klaive_desc;Baneklaives are the Black Spiral Dancers’ answer to the Grand Klaive. These carefully tooled sword-length klaive is typically engraved with twisting runes and gleams with pale green balefire when activated. Although not as skillfully tempered, it counts both as silver and as Wyrm emanation for purposes of inflicting damage.;;;;;;;;;;;;;x
grand_klaive;Grand Klaive;;;;;;;;;;;;;x
grand_klaive_desc;GThese mighty blades are rare and powerful fetishes, the klaives of the most legendary heroes. Carrying one of these immense silver swords costs a Garou two points from his effective Gnosis rating. A war-spirit is usually bound into the grand klaive, allowing it to inflict aggravated damage to non-Garou.;;;;;;;;;;;;;x
klaive;Klaive;;;;;;;;;;;;;x
klaive_desc;Klaives are fetish daggers or swords, usually of great spiritual potency and nearly always made of silver - treasured items passed down from hero to hero among the Garou Nation.;;;;;;;;;;;;;x
klaive2;Klaive;;;;;;;;;;;;;x
klaive2_desc;Klaives are fetish daggers or swords, usually of great spiritual potency and nearly always made of silver - treasured items passed down from hero to hero among the Garou Nation.;;;;;;;;;;;;;x
klaive3;Klaive;;;;;;;;;;;;;x
klaive3_desc;Klaives are fetish daggers or swords, usually of great spiritual potency and nearly always made of silver - treasured items passed down from hero to hero among the Garou Nation.;;;;;;;;;;;;;x
